Commune,mean
PUISELET-LE-MARAIS,3078.0
MONTENILS,3500.0
WY-DIT-JOLI-VILLAGE,3277.0
MAULETTE,3026.0
MAROLLES-EN-BRIE,2922.0
TIGEAUX,3177.0
SAINT-MAUR-DES-FOSSES,6936.0
SAINT-DENIS-LES-REBAIS,2093.0
MOUSSY,2788.0
VALLANGOUJARD,3187.0
SOISY-SUR-SEINE,3465.0
MORET-SUR-LOING,2880.0
ESBLY,3623.0
SEVRAN,3331.0
TESSANCOURT-SUR-AUBETTE,3044.0
BANTHELU,2694.0
SAINT-CHERON,3144.0
L'ILE-SAINT-DENIS,4056.0
FONTAINE-LE-PORT,3207.0
ARGENTEUIL,3971.0
SEINE-PORT,3183.0
LA CELLE-SAINT-CLOUD,6413.0
CRISENOY,2847.0
THEUVILLE,
VILLERON,3397.0
DAMMARTIN-EN-SERVE,2533.0
PORT-VILLEZ,
MOUSSY-LE-VIEUX,3332.0
CONFLANS-SAINTE-HONORINE,4362.0
PUTEAUX,7964.0
VILLIERS-SUR-ORGE,3778.0
OZOIR-LA-FERRIERE,3925.0
BOUQUEVAL,3637.0
GOUSSAINVILLE,3579.0
SAINTE-GENEVIEVE-DES-BOIS,3727.0
BOISSY-SAINT-LEGER,3696.0
BUTRY-SUR-OISE,3943.0
LARCHANT,2600.0
ESMANS,1998.0
ROCQUENCOURT,
BOULLAY-LES-TROUX,3824.0
SAINT-THIBAULT-DES-VIGNES,3703.0
LABBEVILLE,2976.0
ORLY-SUR-MORIN,1865.0
GAMBAISEUIL,
SAVIGNY-LE-TEMPLE,2898.0
NOGENT-SUR-MARNE,7091.0
JUMEAUVILLE,3342.0
MAGNY-LE-HONGRE,4465.0
ETIOLLES,3586.0
HOUILLES,5763.0
COMMENY,2529.0
LE BELLAY-EN-VEXIN,2832.0
GUERCHEVILLE,1818.0
PONTOISE,3777.0
VILLENEUVE-SOUS-DAMMARTIN,2500.0
ROCHEFORT-EN-YVELINES,3051.0
MAISON-ROUGE,2000.0
RAMPILLON,1974.0
LE PLESSIS-BOUCHARD,4227.0
ETRECHY,3177.0
SEPTEUIL,2767.0
MOISSON,2437.0
LE BOURGET,3732.0
MOIGNY-SUR-ECOLE,3233.0
BOISSY-LE-CUTTE,2777.0
SERAINCOURT,3012.0
BEZALLES,1692.0
AULNOY,2316.0
SAINT-REMY-LA-VANNE,1931.0
ORVEAU,3016.0
VEMARS,3309.0
SAINT-FARGEAU-PONTHIERRY,3145.0
PERSAN,3028.0
BELLEFONTAINE,3194.0
MONTEREAU-FAULT-YONNE,2121.0
VILLEBEON,2177.0
BEAUTHEIL,
FOURQUEUX,
CHATRES,2731.0
LE MESNIL-SAINT-DENIS,3674.0
JUILLY,3164.0
CLAMART,7240.0
RAIZEUX,2798.0
SOLERS,3142.0
